Dish,Main Course/Starter/Snacks,Veg/Chicken/Other Non Veg,Gravy/Dry
MUTTON KOSHA,Main Course,Other Non Veg,Dry
MUTTON DO PYAZA,Main Course,Other Non Veg,Gravy
MUTTON PASANDA,Main Course,Other Non Veg,Gravy
MUTTON CHETTINAD,Main Course,Other Non Veg,Gravy
MUTTON REZALA,Main Course,Other Non Veg,Gravy
FISH CURRY,Main Course,Other Non Veg,Gravy
MUTTON KASHA,Main Course,Other Non Veg,Gravy
FRIED RICE,Main Course,Other Non Veg,Dry
MUTTON PEPPER,Starter,Other Non Veg,Dry
FISH CHILLI,Starter,Other Non Veg,Dry
EGG 65,Starter,Other Non Veg,Dry
EGG ROLL,Starter,Other Non Veg,Dry
FISH PATURI,Starter,Other Non Veg,Dry
PORK WITH BAMBOO SHOOT,Starter,Other Non Veg,Dry
PRAWN MASALA,Starter,Other Non Veg,Gravy
MUTTON FRY,Starter,Other Non Veg,Dry
MUTTON GALOUTI,Starter,Other Non Veg,Dry
FISH FINGES,Starter,Other Non Veg,Dry
OMELETTE,Starter,Other Non Veg,Dry
PRAWN CAKE,Starter,Other Non Veg,Dry
FISH FRY,Starter,Other Non Veg,Dry
PAKORA,Starter,Other Non Veg,Dry
TIKKA,Starter,Other Non Veg,Dry
GARLIC PRAWN,Starter,Other Non Veg,Dry
CHAAP,Starter,Other Non Veg,Dry
ROAST PRAWN,Starter,Other Non Veg,Dry
MUTTON CHOPS,Starter,Other Non Veg,Dry
CHILLI PRAWN,Starter,Other Non Veg,Dry
MUTTON BHUNA,Starter,Other Non Veg,Dry
CUTLET,Starter,Other Non Veg,Dry
PRAWN GHEE ROAST,Starter,Other Non Veg,Dry
KEBAB,Starter,Other Non Veg,Dry
KABAB,Starter,Other Non Veg,Dry
FISH BHUNA,Starter,Other Non Veg,Dry
MUTTON PEPPER,Snacks,Other Non Veg,Dry
EGG 65,Snacks,Other Non Veg,Dry
EGG ROLL,Snacks,Other Non Veg,Dry
FISH CHILLI,Snacks,Other Non Veg,Dry
OMELETTE,Snacks,Other Non Veg,Dry
MUTTON FRY,Snacks,Other Non Veg,Dry
PARATHA,Snacks,Other Non Veg,Dry
BURGER,Snacks,Other Non Veg,Dry
SANDWICH,Snacks,Other Non Veg,Dry
SWARAMA,Snacks,Other Non Veg,Dry
MANCHURIAN,Snacks,Other Non Veg,Gravy
PATTY,Snacks,Other Non Veg,Dry
GARLIC PRAWN,Snacks,Other Non Veg,Dry
GARLIC BREAD,Snacks,Other Non Veg,Dry
KEEMA,Snacks,Other Non Veg,Dry
CHILLI PRAWN,Snacks,Other Non Veg,Dry
KEBAB,Snacks,Other Non Veg,Dry
KABAB,Snacks,Other Non Veg,Dry
CUTLET,Snacks,Other Non Veg,Dry
STEW,Snacks,Other Non Veg,Dry
PASTA,Snacks,Other Non Veg,Gravy
PAKORA,Snacks,Other Non Veg,Dry
PIZZA,Snacks,Other Non Veg,Dry
TIKKA,Snacks,Other Non Veg,Dry
FAJITA,Snacks,Other Non Veg,Dry
CIGAR,Snacks,Other Non Veg,Dry
CHANA,Main Course,Veg,Dry
VEG KADAI,Main Course,Veg,Gravy
GOBI MASALA,Main Course,Veg,Dry
UNDHIYO,Main Course,Veg,Dry
KOFTE,Main Course,Veg,Gravy
KOFTA,Main Course,Veg,Gravy
GATTE SABJI,Main Course,Veg,Gravy
KHICHDI,Main Course,Veg,Gravy
LITTI CHOKA,Main Course,Veg,Gravy
BAIGAN BHARTA,Main Course,Veg,Dry
GREEN PEAS MASALA,Main Course,Veg,Dry
SHAHI PANEER,Main Course,Veg,Gravy
KAJU MASALA,Main Course,Veg,Gravy
PANEER BUTTER MASALA,Main Course,Veg,Gravy
PULAO,Main Course,Veg,Dry
DAL MAKHANI,Main Course,Veg,Gravy
PALAK PANEER,Main Course,Veg,Gravy
SAMBHAR,Main Course,Veg,Gravy
CHANA MASALA,Main Course,Veg,Gravy
GOBI MASALA,Main Course,Veg,Dry
AALO MATAR,Main Course,Veg,Gravy
ALOO METHI,Main Course,Veg,Dry
SHIMLA MIRCH,Main Course,Veg,Dry
BAATI,Main Course,Veg,Gravy
BHINDI,Main Course,Veg,Dry
DAL FRY,Main Course,Veg,Gravy
DAL TADKA,Main Course,Veg,Gravy
DUM ALOO,Main Course,Veg,Gravy
GAJAR ALOO,Main Course,Veg,Dry
KADAI PANEER,Main Course,Veg,Gravy
PALAK,Main Course,Veg,Gravy
LAUKI,Main Course,Veg,Gravy
MIX VEG,Main Course,Veg,Dry
MUSHROOM,Main Course,Veg,Dry
RAJMA,Main Course,Veg,Gravy
RASAM,Main Course,Veg,Gravy
OLAN,Main Course,Veg,Gravy
KOOTTU,Main Course,Veg,Gravy
MATAR PANEER,Main Course,Veg,Gravy
VEG KOLHAPURI,Main Course,Veg,Gravy
PANEER MAKHANI,Main Course,Veg,Gravy
CAPSICUM MASALA,Main Course,Veg,Dry
BIRYANI,Main Course,Veg,Dry
ALOO PALAK,Main Course,Veg,Dry
ALOO GOBI,Main Course,Veg,Dry
ALOO BAIGAN,Main Course,Veg,Dry
NAVRATAN KORMA,Main Course,Veg,Gravy
PANEER BHURJI,Main Course,Veg,Dry
VEGETABLE KORMA,Main Course,Veg,Gravy
PANEER LABABDAR,Main Course,Veg,Gravy
PANEER PASANA,Main Course,Veg,Gravy
ALOO MATAR,Main Course,Veg,Gravy
ALOO JEERA,Main Course,Veg,Dry
VEG BIRYANI,Main Course,Veg,Dry
RICE,Main Course,Veg,Dry
KADAI MUSHROOM,Main Course,Veg,Gravy
LAUKI KOFTA,Main Course,Veg,Gravy
METHI MALAI MATAR,Main Course,Veg,Gravy
PALAK DAL,Main Course,Veg,Gravy
TOFU BHURJI,Main Course,Veg,Dry
METHI CHAMAN CURRY,Main Course,Veg,Gravy
CHANA DAL,Main Course,Veg,Gravy
CHOLE,Main Course,Veg,Gravy
KADHI,Main Course,Veg,Gravy
MOONG DAL,Main Course,Veg,Gravy
PANEER DO PYAZA,Main Course,Veg,Gravy
PANEER JALFREZI,Main Course,Veg,Dry
KADALA CURRY,Main Course,Veg,Gravy
SOYA,Main Course,Veg,Dry
THUKPA,Main Course,Veg,Dry
FRIED RICE,Main Course,Veg,Dry
VEG KEBAB,Starter,Veg,Dry
CHILLI PANEER,Starter,Veg,Dry
PANEER PEPPER,Starter,Veg,Dry
DAHI VADA,Starter,Veg,Gravy
ROLL,Starter,Veg,Dry
FALAFEL,Starter,Veg,Dry
PANEER TIKKA,Starter,Veg,Dry
SWEET POTATO,Starter,Veg,Dry
SUBADANA TIKKI,Starter,Veg,Dry
PANEER 65,Starter,Veg,Dry
MANCHURIAN,Starter,Veg,Gravy
SPRING ROLL,Starter,Veg,Dry
CORN,Starter,Veg,Dry
GOBI CHILLI,Starter,Veg,Dry
SOUP,Starter,Veg,Gravy
PAPAD,Starter,Veg,Dry
CHILLI PANEER,Starter,Veg,Dry
BOONDI CHAAT,Starter,Veg,Dry
CIGAR,Starter,Veg,Dry
CHEESE BALLS,Starter,Veg,Dry
TANDOORI MUSHROOM,Starter,Veg,Dry
KEBAB,Starter,Veg,Dry
KABAB,Starter,Veg,Dry
CHANA CHAAT,Starter,Veg,Dry
GOBI 65,Starter,Veg,Dry
CUTLET,Starter,Veg,Dry
CHILLI POTATO,Starter,Veg,Dry
NOODLES,Starter,Veg,Dry
NOODLES,Snacks,Veg,Dry
GOBI CHILLI,Snacks,Veg,Dry
PANEER PEPPER,Snacks,Veg,Dry
